mode,t,h,log_h,H,T_model,p_model,log_screen_probability,log_crossing_flux,integration_error,numeric_status,elapsed_microseconds
classic,0.65625,0.2974342141702207,-1.2125622072886335,0.39957690594588591,0.67060371446645206,0.19946048883196024,,,5.2239946794719631e-17,ok,3
classic,0.6796875,0.28105113024683354,-1.269218668026987,0.40635485141733219,0.66607376826336218,0.18720078539818541,,,4.8160199181142083e-17,ok,3
classic,0.703125,0.2652702781166047,-1.3270060553371583,0.41275588283434567,0.6618238256658403,0.17556219029857276,,,4.8084148961276218e-17,ok,3
classic,0.7265625,0.25008760982415273,-1.3859439832127882,0.41879406923842899,0.65783965074038253,0.1645175459012177,,,4.5505980079833323e-17,ok,3
classic,0.75,0.23549822107069496,-1.4460519193941315,0.42448337476409814,0.65410762636045405,0.15404118239666176,,,4.0424947127840282e-17,ok,3
classic,0.7734375,0.22149635239089904,-1.5073491573937199,0.42983763857300172,0.65061472088278616,0.14410878748736003,,,3.9345375154578997e-17,ok,3
classic,0.796875,0.20807539507494782,-1.5698547886376257,0.43487055487095344,0.64734845775942262,0.13469728609945003,,,3.7062063758964501e-17,ok,3
classic,0.8203125,0.19522790195411871,-1.6335876748794189,0.43959565312057347,0.64429688785615802,0.12578472965172582,,,3.4874884977185516e-17,ok,3
classic,0.84375,0.18294560311850688,-1.6985664210470093,0.44402627856443233,0.64144856425841168,0.11735019445775545,,,3.1481487240077683e-17,ok,3
classic,0.8671875,0.17121942658241926,-1.7648093486839225,0.44817557317458223,0.6387925193551276,0.10937368886912391,,,2.9482511437705488e-17,ok,3
classic,0.890625,0.16003952385721024,-1.8323344701461775,0.45205645714407744,0.636318244000184,0.10183606879144558,,,2.8876381735509176e-17,ok,3
classic,0.9140625,0.14939530033383977,-1.9011594637136766,0.45568161103446936,0.63401566855923186,0.094718961220766659,,,2.5758267628304457e-17,ok,3
classic,0.9375,0.13927545031919691,-1.971301649770868,0.45906345869029053,0.63187514565801606,0.088004695457028326,,,2.5330515459893048e-17,ok,3
classic,0.9609375,0.12966799651230729,-2.042777968205415,0.46221415102720603,0.62988743445624074,0.08167624165421801,,,2.2387015526103448e-17,ok,3
classic,0.984375,0.12056033365004803,-2.1156049571656692,0.46514555079483205,0.62804368627902751,0.075717156364605659,,,2.1479369408446318e-17,ok,3
classic,1.0078125,0.11193927599802878,-2.18979873330803,0.46786921840824502,0.6263354314461208,0.070111534727991753,,,1.9352822373356227e-17,ok,3
classic,1.03125,0.10379110831197685,-2.2653749736538518,0.47039639893400692,0.62475456714727817,0.06484396894718536,,,1.7956697645345055e-17,ok,3
classic,1.0546875,0.096101639849338616,-2.342348899162523,0.47273801030720464,0.62329334622083254,0.059899512679003571,,,1.6638149511988874e-17,ok,3
classic,1.078125,0.088856260970839748,-2.4207352601129908,0.47490463284567147,0.62194436670125386,0.055263650956950267,,,1.5394779058417292e-17,ok,3
classic,1.1015625,0.082040001838319443,-2.5005483233703583,0.47690650011636582,0.62070056201068857,0.050922275248402801,,,1.487464377496886e-17,ok,3
classic,1.125,0.075637592688978295,-2.5818018615976173,0.47875349119699007,0.61955519167891715,0.046861663236551811,,,1.3123660953512685e-17,ok,3
classic,1.1484375,0.069633525147837105,-2.6645091444552769,0.48045512436351806,0.61850183248590285,0.043068462906390451,,,1.274135215754047e-17,ok,3
classic,1.171875,0.064012114030088052,-2.7486829318138639,0.48202055222154944,0.61753436993107258,0.039529680505526396,,,1.1123033928806841e-17,ok,3
classic,1.1953125,0.058757559083332453,-2.8343354689863198,0.48345855828652307,0.6166469899435989,0.036232671945170124,,,1.0217647634459845e-17,ok,3
classic,1.21875,0.053854006126455335,-2.9214784839694055,0.4847775550049927,0.61583417075817026,0.033165137204891039,,,9.3720353680001908e-18,ok,3
classic,1.2421875,0.049285607056890855,-3.0101231866657443,0.48598558319659607,0.61509067489094293,0.030315117307032815,,,8.5835565613718207e-18,ok,4
classic,1.265625,0.045036578220919395,-3.1002802700411749,0.487090312884221,0.61441154116047614,0.027670993433309421,,,7.8495765452043015e-18,ok,3
classic,1.2890625,0.041091256671840368,-3.1919599131560785,0.48809904546836841,0.61379207670834768,0.025221487767164645,,,7.4927367516503698e-18,ok,3
classic,1.3125,0.0374341538776779,-3.2851717859944118,0.48901871719099427,0.61322784898373739,0.022955665660934651,,,7.0225515955762607e-18,ok,3
classic,1.3359375,0.034050006482647818,-3.3799250560005012,0.48985590382432787,0.61271467766543708,0.020862938746521602,,,5.9485688079065947e-18,ok,3
classic,1.359375,0.03092382377397742,-3.4762283962215128,0.49061682651143484,0.61224862650341638,0.018933068631851371,,,5.4066808779891648e-18,ok,3
classic,1.3828125,0.028040931556787364,-3.5740899949429439,0.4913073586777193,0.61182599507014568,0.017156170852425278,,,5.0691564714937096e-18,ok,3
classic,1.40625,0.025387012193520835,-3.6735175666956512,0.49193303392621884,0.61144331041928279,0.015522718777261078,,,4.7709506794082635e-18,ok,3
classic,1.4296875,0.02294814061973173,-3.7745183645058518,0.49249905482448497,0.61109731865600214,0.014023547200858948,,,4.3470810272597378e-18,ok,3
classic,1.453125,0.020710816203817164,-3.8770991932543235,0.49301030248708366,0.61078497642913887,0.012649855386876694,,,3.6326331283383473e-18,ok,3
classic,1.4765625,0.018661990373447235,-3.981266424007583,0.49347134685529753,0.61050344236040188,0.011393209364286219,,,3.4385475928476256e-18,ok,3
classic,1.5,0.016789089985011187,-4.0870260091822068,0.49388645757443117,0.61025006843016572,0.010245543312233287,,,3.0308542231021571e-18,ok,3
conditional29,0,0,-inf,0,1,0,0,-inf,0,exact_zero,0
conditional29,0.0234375,0.010044057855206056,-4.6007740775275563,1.2747406149292146e-05,0.99998725267509858,0.010043929820337246,-1.2747406149337517e-05,-4.6007868249337056,1.1491340611097567e-11,ok,96
conditional29,0.046875,1.8246931008909359,0.601411808997944,0.016548833802153752,0.98358734590800212,1.7947450442019581,-0.01654883380215386,0.58486297519579011,5.5484188898164188e-10,ok,37
conditional29,0.0703125,2.8362014341080539,1.0424656336891716,0.075548616747073444,0.92723465030570906,2.6298242449517319,-0.075548616747070932,0.96691701694210064,1.0906148052530483e-13,ok,28
conditional29,0.09375,2.5012138489127635,0.91677615360306708,0.139199538916884,0.87005440142326229,2.1761921181473687,-0.13919939796491765,0.77757675563814943,2.6796519468761243e-15,ok,28
conditional29,0.1171875,1.9441481628981463,0.66482391861658052,0.19126030519170864,0.82591756953590345,1.6057061255185288,-0.1912140062817205,0.47360991233486005,9.6318942173087865e-16,ok,21
conditional29,0.140625,1.4864001463848406,0.39635718756023669,0.2311695016866577,0.79360493725873238,1.179614494913112,-0.23051453254470727,0.16584265501552942,2.9398023745094592e-16,ok,21
conditional29,0.1640625,1.1740882092047855,0.16049185419221251,0.26209002911103008,0.76944174843262603,0.90339248450466092,-0.25915860014994024,-0.098666745957727731,2.1970356147258741e-16,ok,21
conditional29,0.1875,0.97068557972809255,-0.029752673913507222,0.28705454372153261,0.75047079425069585,0.72847117798623873,-0.27931198019221926,-0.30906465410572648,1.773835450826946e-16,ok,21
conditional29,0.2109375,0.83652911989142564,-0.17849394757548237,0.30812807628970224,0.73482119880924035,0.61469933071745619,-0.29270697238696147,-0.47120091996244384,1.4973645483116813e-16,ok,22
conditional29,0.234375,0.74510328004458226,-0.29423243927863207,0.32659796319935308,0.72137370351113905,0.53749791262405766,-0.30065114747027344,-0.59488358674890551,1.3644061016756014e-16,ok,21
conditional29,0.2578125,0.68036223680218644,-0.38512992146720398,0.34326166017898502,0.7094525517897009,0.4826847250406599,-0.30413098882467365,-0.68926091029187764,1.1840268839785e-16,ok,21
conditional29,0.28125,0.6326316144146511,-0.45786699399628805,0.35862191377722064,0.69863844699447808,0.44198076861426133,-0.30390976281399862,-0.76177675681028667,1.1694742177848842e-16,ok,21
conditional29,0.3046875,0.59591872468714435,-0.51765098919033492,0.37300180397990751,0.68866399050683336,0.41038776696079182,-0.30060246386041034,-0.81825345305074526,1.0737943567340023e-16,ok,21
conditional29,0.328125,0.5663787913651307,-0.56849218192740436,0.38661131608633503,0.67935509801470095,0.38477231932130623,-0.29472902530611622,-0.86322120723352058,9.6701399644612066e-17,ok,21
conditional29,0.3515625,0.54146359904920205,-0.61347943723976783,0.39958673281843182,0.67059712456160037,0.36310393257717016,-0.2867497216033485,-0.90022915884311638,9.219588102451433e-17,ok,21
conditional29,0.375,0.5194458837572935,-0.65499264372975208,0.41201491889076935,0.66231439498230138,0.3440364862267587,-0.27708621708549075,-0.93207886081524283,8.830757332374291e-17,ok,21
conditional29,0.3984375,0.49914824982326927,-0.6948521335200456,0.42394909699571631,0.65445719489838117,0.32667116341777319,-0.26613115084539596,-0.96098328436544156,8.4797435597372931e-17,ok,21
conditional29,0.421875,0.47978301189786915,-0.73442133583557512,0.43541970316842094,0.64699306504655851,0.31041628142507183,-0.25424908666970197,-0.98867042250527715,8.4105644121767362e-17,ok,21
conditional29,0.4453125,0.4608510466793998,-0.77468039735181349,0.44644225440927965,0.6399007105629152,0.29489891223381115,-0.24177192858464047,-1.016452325936454,7.8319937137356348e-17,ok,21
conditional29,0.46875,0.44207067199781197,-0.81628551828794149,0.45702323859116911,0.6331656260146683,0.27990395377821969,-0.2289920899486878,-1.0452776082366293,7.7784499690305874e-17,ok,22
conditional29,0.4921875,0.42332112715021958,-0.85962422211672151,0.46716452899227606,0.62677695894711427,0.26532792873327932,-0.21615643333305737,-1.0757806554497789,7.2058202257401714e-17,ok,21
conditional29,0.515625,0.40459379743452839,-0.90487168448332911,0.47686657209114591,0.62072534585316419,0.25114162484259267,-0.20346314721867317,-1.1083348317020023,6.8937162459333787e-17,ok,21
conditional29,0.5390625,0.38594963080000244,-0.95204840818732128,0.4861305043147473,0.61500154172136867,0.23735961796879454,-0.19106249070416445,-1.1431108988914858,6.5824197460538612e-17,ok,21
conditional29,0.5625,0.36748384013665253,-1.0010759337133328,0.49495935286525061,0.60959568511068762,0.22401656329520911,-0.17906111587742179,-1.1801370495907546,6.2732742026861983e-17,ok,21
conditional29,0.5859375,0.3492994356819184,-1.0518257427391688,0.50335851033740209,0.60449703710484826,0.2111504739321152,-0.16752883856889905,-1.219354581308068,5.9679603283424274e-17,ok,21
conditional29,0.609375,0.33149014145332839,-1.1041572090040848,0.51133569932439071,0.59969403270481325,0.19879265973003549,-0.15650643359727509,-1.2606636426013598,5.9283422078867455e-17,ok,21
conditional29,0.6328125,0.31413177918660212,-1.1579427021762343,0.51890063897942829,0.59517450008543049,0.18696322463833276,-0.14601320452617675,-1.3039559067024111,5.6354214397470012e-17,ok,21
conditional29,0.65625,0.2972800727703761,-1.2130805785693679,0.52606458954556701,0.59092593581126296,0.17567050519987484,-0.13605350661036283,-1.3491340851797307,5.0902930341143356e-17,ok,21
conditional29,0.6796875,0.28097242842967191,-1.269498733929781,0.53283989671637499,0.58693576366590772,0.16491276684943407,-0.12662186582812579,-1.3961205997579067,4.8141452927609636e-17,ok,21
conditional29,0.703125,0.26523152488832585,-1.3271521556072357,0.5392396025959596,0.58319154114876148,0.15468078176085884,-0.11770669618363989,-1.4448588517908756,4.5472645237400603e-17,ok,21
conditional29,0.7265625,0.25006919500875935,-1.3860176193813809,0.54527714647818182,0.57968110449850707,0.14496038716373016,-0.10929282532754554,-1.4953104447089265,4.289932947345857e-17,ok,21
conditional29,0.75,0.23548977184348269,-1.4460877981313405,0.5509661513425439,0.57639265873635104,0.13573457569808167,-0.10136311394906246,-1.547450912080403,4.0422810800763348e-17,ok,21
conditional29,0.7734375,0.22149260711085636,-1.5073660665286428,0.5563202792572044,0.57331482562110747,0.12698499542212507,-0.093899443317300588,-1.6012655098459434,3.8043366960924094e-17,ok,21
conditional29,0.796875,0.20807379045836372,-1.5698625003748579,0.56135313619802774,0.57043666288758366,0.11869291866343934,-0.086883292968730236,-1.6567457933435881,3.7061642001200888e-17,ok,21
conditional29,0.8203125,0.19522723720737523,-1.6335910798633815,0.56607820938177089,0.56774766576579339,0.11083980821839214,-0.080296068663283926,-1.7138871485266653,3.3573664266435128e-17,ok,21
