mode,bin_left,bin_right,observed_mass,expected_mass,escape_bin
midpoint,0.234375,0.2578125,0.0121,0.012209013135987323,0
midpoint,0.2578125,0.28125,0.0124,0.011220684800899328,0
midpoint,0.28125,0.3046875,0.0093500000000000007,0.010497692276435489,0
midpoint,0.3046875,0.328125,0.0099000000000000008,0.0099399945937906908,0
midpoint,0.328125,0.3515625,0.0091999999999999998,0.0094839606651871966,0
midpoint,0.3515625,0.375,0.0097999999999999997,0.0090878765274475803,0
midpoint,0.375,0.3984375,0.0084499999999999992,0.0087237826100178273,0
midpoint,0.3984375,0.421875,0.0090500000000000008,0.0083729509635251942,0
midpoint,0.421875,0.4453125,0.0077499999999999999,0.008023358653543422,0
midpoint,0.4453125,0.46875,0.0072500000000000004,0.0076681696204251582,0
midpoint,0.46875,0.4921875,0.0080999999999999996,0.007304651571689913,0
midpoint,0.4921875,0.515625,0.0071999999999999998,0.006933225985551128,0
midpoint,0.515625,0.5390625,0.0064000000000000003,0.0065565357743680996,0
midpoint,0.5390625,0.5625,0.00645,0.0061785371812894674,0
midpoint,0.5625,0.5859375,0.0053499999999999997,0.0058036836671443437,0
midpoint,0.5859375,0.609375,0.0051000000000000004,0.005436276202485768,0
midpoint,0.609375,0.6328125,0.0050499999999999998,0.005080023829458935,0
midpoint,0.6328125,0.65625,0.00445,0.0047378146201980664,0
midpoint,0.65625,0.6796875,0.0038500000000000001,0.0044116609989084399,0
midpoint,0.6796875,0.703125,0.0037000000000000002,0.0041027652530550851,0
midpoint,0.703125,0.7265625,0.0039500000000000004,0.0038116506977612374,0
midpoint,0.7265625,0.75,0.0030000000000000001,0.0035383149507678402,0
midpoint,0.75,0.7734375,0.00415,0.0032823767109801949,0
midpoint,0.7734375,0.796875,0.0034499999999999999,0.0030432010608598681,0
midpoint,0.796875,0.8203125,0.0025999999999999999,0.0028199982507013388,0
midpoint,0.8203125,0.84375,0.0025999999999999999,0.0026118969270582104,0
midpoint,0.84375,0.8671875,0.0025000000000000001,0.0024179956585805851,0
midpoint,0.8671875,0.890625,0.00265,0.0022373974663890683,0
midpoint,0.890625,0.9140625,0.0025500000000000002,0.0020692318000393728,0
midpoint,0.9140625,0.9375,0.00125,0.0019126676484269023,0
midpoint,0.9375,0.9609375,0.0016999999999999999,0.0017669206134124371,0
midpoint,0.9609375,0.984375,0.0020999999999999999,0.0016312559918771896,0
midpoint,0.984375,1.0078125,0.0015,0.0015049892825217404,0
midpoint,1.0078125,1.03125,0.0015,0.0013874850662390914,0
midpoint,1.03125,1.0546875,0.0015499999999999999,0.0012781548823653788,0
midpoint,1.0546875,1.078125,0.00095,0.0011764545062309395,0
midpoint,1.078125,1.1015625,0.00125,0.0010818808950524561,0
midpoint,1.1015625,1.125,0.00055000000000000003,0.00099396898315384785,0
midpoint,1.125,1.1484375,0.00064999999999999997,0.00091228845404511816,0
midpoint,1.1484375,1.171875,0.00084999999999999995,0.00083644058244147779,0
midpoint,1.171875,1.1953125,0.0010499999999999999,0.0007660552152458644,0
midpoint,1.1953125,1.21875,0.00084999999999999995,0.00070078794196481997,0
midpoint,1.21875,1.2421875,0.00040000000000000002,0.00064031748946302702,0
midpoint,1.2421875,1.265625,0.00040000000000000002,0.00058434336237833673,0
midpoint,1.265625,1.2890625,0.00084999999999999995,0.00053258373865416875,0
midpoint,1.2890625,1.3125,0.00055000000000000003,0.00048477361953103149,0
midpoint,1.3125,1.3359375,0.00035,0.00044066322510183387,0
midpoint,1.3359375,1.359375,0.00029999999999999997,0.00040001662018684936,0
midpoint,1.359375,1.3828125,0.00040000000000000002,0.00036261055079100935,0
midpoint,1.3828125,1.40625,0.00025000000000000001,0.00032823346858645852,0
midpoint,1.40625,1.4296875,0.00025000000000000001,0.00029668471952437603,0
midpoint,1.4296875,1.453125,0.00014999999999999999,0.00026777387253273943,0
midpoint,1.453125,1.4765625,0.00035,0.00024132016507438792,0
midpoint,1.4765625,1.5,0.00020000000000000001,0.00021715204382866116,0
midpoint,1.5,1.5,0.51824999999999999,0.5227274345609445,1
