mode,t,h,log_h,H,T_model,p_model,log_screen_probability,log_crossing_flux,integration_error,numeric_status,elapsed_microseconds
classic,0.70000000000000007,0.26733973292848257,-1.3192350214350352,0.41192368246315875,0.66237482493831945,0.17707910879756072,,,1.0363905719234534e-16,ok,3
classic,0.75,0.23549822107069496,-1.4460519193941315,0.42448337476409809,0.65410762636045405,0.15404118239666176,,,8.9241981278145088e-17,ok,3
classic,0.80000000000000004,0.2063294347130944,-1.5782811899110682,0.43551805976468971,0.64692943214028042,0.13348058403276722,,,7.8406152685713182e-17,ok,3
conditional29,0,0,-inf,0,1,0,0,-inf,0,exact_zero,0
conditional29,0.050000000000000003,2.0990758525819762,0.74149717767101064,0.02269141001661356,0.97756410372296298,2.0519812044758141,-0.022691410016613553,0.71880576765439708,1.6667695424905967e-16,ok,959
conditional29,0.10000000000000001,2.3530380662678723,0.85570728737376855,0.15437270689835353,0.85695256935007791,2.016442016666792,-0.15437155262618199,0.70133573474758659,1.0007040196970249e-15,ok,168
conditional29,0.15000000000000002,1.3454951755195732,0.29676210553705218,0.24442594488194863,0.78315398277859372,1.0537299055175369,-0.24312161459224424,0.05364049094480805,6.6718863555582493e-16,ok,151
conditional29,0.20000000000000001,0.89250286479719043,-0.11372555547669849,0.29868174350404497,0.74179545309342121,0.66205456697940834,-0.2872051066982666,-0.40093066217496487,4.0112314712172534e-16,ok,162
conditional29,0.25,0.69967032752580471,-0.35714601555296666,0.33787221005398932,0.7132864329092018,0.49906535213329417,-0.3034162936126833,-0.66056230916565006,2.8431970491254334e-16,ok,166
conditional29,0.30000000000000004,0.6025870797931131,-0.50652309328394218,0.37019292132562004,0.69060108610790572,0.41614729177971516,-0.30148481589840559,-0.80800790918234777,2.3615767912148096e-16,ok,181
conditional29,0.35000000000000003,0.54301874877508571,-0.61061143151337083,0.39873948266238801,0.67116552883633129,0.36445546568967335,-0.28733857122945183,-0.89795000274282266,2.086902096191281e-16,ok,169
conditional29,0.40000000000000002,0.49783511022925431,-0.69748636074182269,0.42472798973182263,0.65394764141269768,0.32555809614685122,-0.2653639928996388,-0.96285035364146143,1.8823731628356987e-16,ok,193
conditional29,0.45000000000000001,0.45708869882588821,-0.78287781758628294,0.44859367380694004,0.63852549562412497,0.29186278796198667,-0.23923158918439238,-1.0221094067706753,1.7185270909742122e-16,ok,164
conditional29,0.5,0.41707426353282762,-0.87449098303269746,0.47044732178065174,0.62472275367628771,0.26055578240173777,-0.2119011405997758,-1.0863921236324732,1.5885737534499477e-16,ok,174
conditional29,0.55000000000000004,0.37730373720871369,-0.97470474692254006,0.49030450600383724,0.61243987416895129,0.23107585333957967,-0.18540714217715579,-1.1601118890996958,1.443463865418016e-16,ok,164
conditional29,0.60000000000000009,0.33856354268827327,-1.0830434858175393,0.5081948775568631,0.60158052579505328,0.2036732340254474,-0.16085257667208691,-1.2438960624896263,1.3167238459495608e-16,ok,166
conditional29,0.65000000000000002,0.30172191255133146,-1.1982495051883091,0.52419272838807152,0.59203310302583645,0.17862936013865482,-0.13865743319213747,-1.3369069383804466,1.1627365217285354e-16,ok,167
conditional29,0.70000000000000007,0.26729705230398815,-1.3193946835673986,0.53840752937316771,0.58367700115503718,0.15601514190637292,-0.1188660648449285,-1.4382607484123271,1.0327906036457596e-16,ok,167
conditional29,0.75,0.23548977184348269,-1.4460877981313405,0.55096615134254379,0.57639265873635104,0.13573457569808167,-0.10136311394906238,-1.5474509120804028,8.9722267092592285e-17,ok,166
conditional29,0.80000000000000004,0.20632800521808864,-1.5782881181516253,0.56200063635599806,0.57006742461207316,0.11762087456002218,-0.085980619153130988,-1.6642687373047562,8.0844186579728842e-17,ok,288
midpoint,0,0,-inf,0,1,0,0,-inf,0,exact_zero,0
midpoint,0.050000000000000003,2.0990758525821991,0.74149717767111689,0.022691410018237271,0.9775641037213757,2.0519812044727002,-0.022691410016719371,0.71880576765439752,1.309089090492248e-08,ok,7507
midpoint,0.10000000000000001,2.3530380662709014,0.85570728737505597,0.15437270690001997,0.85695256934864983,2.0164420166660277,-0.15437155262746938,0.70133573474758659,3.2397565770148077e-10,ok,2323
midpoint,0.15000000000000002,1.3456274882855852,0.29686043830195963,0.244426770346517,0.78315333631299622,1.0538326568853333,-0.24321994734598273,0.053640490955976894,4.1169951898797999e-14,ok,2140
midpoint,0.20000000000000001,0.89763094784349939,-0.10799626637280157,0.29877444402432979,0.74172669145614356,0.66579683309260096,-0.29293448123064758,-0.40093074760344916,5.7351358277779823e-16,ok,1932
midpoint,0.25,0.71852242443871217,-0.33055836387532567,0.33853779488858238,0.71281183823576566,0.51217129017777741,-0.33015580588728899,-0.66071416976261466,4.5947739561038231e-16,ok,1810
midpoint,0.30000000000000004,0.63830486252517471,-0.44893926881842772,0.37222186480803682,0.68920131604266499,0.43992055128878277,-0.3614458319248246,-0.81038510074325232,2.4974805277689745e-16,ok,1751
midpoint,0.35000000000000003,0.5940217958717402,-0.52083926690590998,0.40294914604935922,0.66834608649825566,0.39701214256554324,-0.38656223646189891,-0.90740150336780889,2.1833046475679214e-16,ok,1741
midpoint,0.40000000000000002,0.56009040209648187,-0.57965707596658989,0.43178968558622655,0.6493459291335919,0.3636924225481471,-0.40511870304794872,-0.98477577901453861,2.1315324181198418e-10,ok,1717
midpoint,0.45000000000000001,0.52499087041976034,-0.64437440621836239,0.45893492701958954,0.63195636684579759,0.33177132309768465,-0.4169409962685201,-1.0613154024868825,1.9287854110930168e-16,ok,1642
midpoint,0.5,0.48440827017977545,-0.72482719441059518,0.48419477849589998,0.61619316904410815,0.29848906711325041,-0.42197749410278262,-1.1468046885133778,1.8989038058457499e-16,ok,1591
midpoint,0.55000000000000004,0.43869357585650981,-0.82395411450845724,0.50728886506893922,0.60212581224478157,0.26414872568916864,-0.42040123248156402,-1.2443553469900213,1.6409335453487916e-16,ok,1592
midpoint,0.60000000000000009,0.39063359194412373,-0.9399852633564092,0.5280249423757416,0.58976864719819588,0.23038344507105793,-0.41273693377174325,-1.3527221971281524,1.5774703184094354e-16,ok,1592
midpoint,0.65000000000000002,0.34333219681632671,-1.0690567966757527,0.54636544165826417,0.57905058350520722,0.19880670890261862,-0.39986832552620333,-1.4689251222019561,1.355212557820275e-16,ok,1591
midpoint,0.70000000000000007,0.29899295383784674,-1.2073352716288375,0.562408176716654,0.56983514646282385,0.17037669364154173,-0.38291386658427795,-1.5902491382131154,1.1919465900255805e-16,ok,1394
midpoint,0.75,0.25871512218828391,-1.3520277369632465,0.57633287094233265,0.56195535545146202,0.14538634844998552,-0.36305242425219986,-1.7150801612154463,1.0154298851133099e-16,ok,919
midpoint,0.80000000000000004,0.22279964759875587,-1.5014823526234553,0.5883526281876551,0.55524122046748559,0.1237075482524589,-0.34138128046151484,-1.8428636330849701,8.5405511962636985e-17,ok,897
